num_hyperlinks,num_suspicious_links,num_ip_urls,body_char_count,subject_char_count,urgency_keyword_count,num_capital_words,special_char_ratio,has_javascript,has_form_tag,processed_text,label
2,0,0,962.0,126.0,0,0,0.07070707064214227,0,0,review shipment detail shipment notification confirmation de détails de l envoi de l article notice message sent outside university victoria email system please cautious link sensitive information http www canadapost postescanada ca cpc asset cpc img logo cpc main logo svg dear amuench uvic ca agent tried ship package address one home package returned warehouse action required establish new shipment small fee must paid otherwise returned sender schedule new shipment follow step bellow parcel request new shipment please assure next shipment someone address receive parcel thank mycanadapost mycanadapost ensure receive future email please add,1
3,0,0,1337.0,23.0,0,0,0.25642909606434305,0,0,υоur ассоunt іѕ оn hоld votre réponse bien été prise en compte http www edigitalagency com au wp content uploads netflix logo red black png png υоur ассоunt іѕ оn hоld ǃ dеаr vаluеd сuѕtоmеr wе rе ѕоrrу tо lеt уоu knоw thаt уоur ассоunt іѕ оn hоld bесаuѕе νеtflіх соuldn рrосеѕѕ уоur rесеnt рауmеnt fоr уоur ассоunt рlеаѕе рrосееd thе uрdаtе uѕіng thе lіnk bеlоw ѕubmіt υоu саn rеtrу thе ѕаmе рауmеnt mеthоd bу rе еntеrіng уоur ехіѕtіng ассоunt іnfоrmаtіоn оr уоu саn trу а dіffеrеnt рауmеnt орtіоn νеtflіх wіll аlѕо аutоmаtісаllу rеtrу fаіlеd рауmеntѕ реrіоdісаllу оvеr thе соurѕе оf уоur bіllіng сусlе tо hеlр уоu gеt bасk tо еnјоуіng thе ѕеrvісе соруrіght νеtflіх іnс аll rіghtѕ rеѕеrvеd envoyé à foipp uvic ca se désabonner spinagrette howge st zurich suisse,1
9,0,0,3264.0,65.0,1,0,0.07957957955568182,0,0,completed invoice bestbuy com notice message sent outside university victoria email system please cautious link sensitive information docusign http docusign net member image email doccomplete white png document completed view completed document best buy auwaluu r bu ba googlemail com party completed invoice bestbuy com dear customer invoice usd attached towards renewal year subscription customer service usa canada best buy total year membership amount usd quantity total thank business appreciate much sincerely bestbuy com share email email contains secure link docusign please share email link access code others alternate signing method visit docusign com click access document enter security code docusign sign document electronically minute safe secure legally binding whether office home go even across globe docusign provides professional trusted solution digital transaction management question document need modify document question detail document please reach sender emailing directly stop receiving email report email read declining sign managing notification trouble signing document please visit help signing page support center http docusign net member image email icon downloadapp png download docusign app message sent best buy using docusign electronic signature service would rather receive email sender may contact sender request,1
1,1,0,545.0,22.0,3,0,0.028169014034913707,0,0,uvic important notice uvic account filed list account set deactivation due retirement graduation transfer concerned account holder record show still active service advised verify request otherwise give u reason deactivate university victoria account please verify uvic account immediately avoid deactivation verify please note one time submission entry warm regard uvic help desk team,1
1,0,0,1284.0,41.0,1,0,0.034690799370519755,0,0,suspended incoming message message generated uvic ca source sender action required message suspended message failure delivery notice user helpdesk uvic ca suspended incoming message please fix click confirmation view incoming suspended message retrieve created date information contained attached communication intended solely use individual entity addressed others authorized receive may contain confidential legally privileged information intended recipient hereby notified disclosure copying distribution taking action reliance content information strictly prohibited may unlawful received communication error please notify immediately responding email delete system neither liable proper complete transmission information contained communication delay receipt,1
2,2,0,751.0,38.0,1,0,0.10759493657266464,0,0,account validation uvic ca user hi helpdesk continue using email account helpdesk uvic ca please verify email address verify email address link expire day make request please disregard email help contact u help center,1
4,0,0,955.0,71.0,2,0,0.13534566685944918,0,0,p ayme nt et hod h b een dec li ned ca eid notice message sent outside university victoria email system please cautious link sensitive information amazon service trouble payment method please verify payment method bank provider chargeback last payment thing might happen amazon account account disable device banned avoid strict u please take time go resolution center follow instruction provide need resolution center term use privacy policy amazon web service inc affiliate affiliate date device,1
1,0,0,706.0,39.0,0,0,0.05495978544911557,0,0,microsoft account security notification notice message sent outside university victoria email system please cautious link sensitive information microsoft account account set close dear flora account te hotmail com scheduled closed due account inactivity account closed deleted accordance microsoft service agreement want keep account sign file data info left learn click thanks microsoft account team,1
18,0,0,3128.0,42.0,3,0,0.08640807313579059,0,0,urgent autopay payment unsuccessful http www telstra com au content dam tcom apps message rnms emailheaders topbar blue jpg telstra logo autopay payment unsuccessful dear valued costumer sending message inform unable process payment last owing bill attempt made take payment fix problem avoid late fee need sign update credit card account access account best regard employee number always help telstra telstra help support help support telstra app telstra app http www telstra com au content dam tcom apps message rnms emailfooters facebook png http www telstra com au content dam tcom apps message rnms emailfooters linkedin png http www telstra com au content dam tcom apps message rnms emailfooters twitter png http www telstra com au content dam tcom apps message rnms emailfooters youtube png privacy customer term content email strictly confidential intended recipient please delete message system email sent era clothing raymond boulevard newark nj u update profile,1
2,0,0,1717.0,20.0,1,0,0.07882623700873058,0,0,verify identity notice message sent outside university victoria email system please cautious link sensitive information http www cibconline cibc com ebm resource auth client img cibc logo colour svg cibc online customer sending message inform temporarily limited functionality account service activate account please click link verify identity follow required instruction verify identity please reply email question contact cibc online customer support thank using cibc online sincerely cibc online customer support cibc logo canadian imperial bank commerce website copyright cibc hej alla acamp och stellplatzvärdar som bekant är det nu lågsäsong inom camping men det är långt ifrån dag att stanna upp faktum är att det är en idealisk period för att förbereda inför den kommande högsäsongen en tid då digital närvaro blir alltmer avgörande erbjuder acamp en gyllene möjlighet för dig att stärka din digitala profil och attrahera den nya generationens campare som en spännande nyhet tillåter vi nu ställplats och campingvärdar att för första gången marknadsföra sig på stellplatz appen en möjlighet att nå en bred och engagerad publik detta nyhetsbrev får du värdefulla tip om digital marknadsföring perfekt för dig som vill ta ditt erbjudande till nästa nivå läs till slutet för att få reda på hur du kan komma igång med acamp varma julhälsningar acamp,1
1,1,0,530.0,18.0,2,0,0.11111111090872293,0,0,update policy c ro ft hello anthtwo uvic ca account set suspension sequel previous notice ignored requesting rectify active user microsoft verify account mi cro ft ri ght ser ved,1
13,0,0,2637.0,57.0,4,0,0.069016697562517,0,0,urgent payment failure action required within hour view email web page go http net wp content uploads telstra logo png autopay payment unsuccessful dear valued costumer sending message inform unable process payment last owing bill attempt made take payment fix problem avoid late fee need sign update credit card account access account kind regard telstra team facebook twitter pinterest instagram privacy term telstra site help info telstra com au email sent helpdesk uvic ca email sent era clothing raymond boulevard newark nj u respect right privacy view policy http www exacttarget com image jpg manage subscription update profile unsubscribe,1
3,0,0,1431.0,25.0,0,0,0.23404255303085617,0,0,preview update required notice message sent outside university victoria email system please cautious link sensitive information votre réponse bien été prise en compte http www edigitalagency com au wp content uploads netflix logo red black png png υоur ассоunt іѕ оn hоld ǃ dеаr vаluеd сuѕtоmеr wе rе ѕоrrу tо lеt уоu knоw thаt уоur ассоunt іѕ оn hоld bесаuѕе νеtflіх соuldn рrосеѕѕ уоur rесеnt рауmеnt fоr уоur ассоunt рlеаѕе рrосееd thе uрdаtе uѕіng thе lіnk bеlоw ѕubmіt υоu саn rеtrу thе ѕаmе рауmеnt mеthоd bу rе еntеrіng уоur ехіѕtіng ассоunt іnfоrmаtіоn оr уоu саn trу а dіffеrеnt рауmеnt орtіоn νеtflіх wіll аlѕо аutоmаtісаllу rеtrу fаіlеd рауmеntѕ реrіоdісаllу оvеr thе соurѕе оf уоur bіllіng сусlе tо hеlр уоu gеt bасk tо еnјоуіng thе ѕеrvісе соруrіght νеtflіх іnс аll rіghtѕ rеѕеrvеd envoyé à ctripp uvic ca se désabonner mbc rue léon patoux reims france,1
0,0,0,1392.0,45.0,1,0,0.03963838662055745,0,0,confirmation thank order notice message sent outside university victoria email system please cautious link sensitive information dear customer subject confirmation thank order would like notify via email payment usd processed compliance term user agreement monthly payment issued beginning december want cancel order make refund contact help desk detail attached automated payment payment transaction id l payment amount usd payment date dec detail automatic payment profile id amount per cycle period billing monthly payment begin dec changed mind option cancel order unable make adjustment question refund would like cancel transaction please contact help line regard norton lifelock llc please reply email hour date transaction open dispute resolution centre service provided norton lifelock llc cin user advised read term condition carefully,1
